File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar3-Sleep stage W-02,25.826,20.251,18.788,13.811,5.598,96.861,14.565,10.915,14.088,4.708,3.546,1.072,1.411,3.344,2.207,21.845,5.598,4.112,8.350,3.849,233.900,4.102,6.516,10.084,6.321,3797.074,23.972,28.380,14.074,6.076,38.992,4.391,17.050,11.636,4.467,1833.318,26.920,78.826,44.034,4.808,14699.558,141.058,61.182,38.438,5.742,12536.573,91.212,24.021,30.469,10.148,155.632,48.438,16.412,25.874,8.292,3301.305,13.977,30.499,33.279,7.963,424.531,49.307,32.456,32.848,7.382,131.149,38.882,33.740,24.107,5.506
Omar3-Sleep stage W-03,75.501,11.694,15.552,11.616,6.000,32.873,7.391,13.823,10.586,7.414,6.389,1.065,1.550,1.619,1.814,15.956,4.360,8.189,7.628,6.349,195.336,6.488,2.653,9.858,11.165,4626.628,20.658,7.063,13.359,7.315,22.945,5.124,7.160,8.212,1.918,1053.638,15.723,31.561,14.221,9.575,7037.347,41.553,18.114,21.223,10.160,5606.727,36.472,26.159,19.285,9.593,520.334,48.952,45.847,22.046,12.359,1295.921,30.266,34.715,11.133,10.303,1351.268,41.459,37.089,14.229,9.960,173.830,25.149,31.619,14.374,9.056
Omar3-Sleep stage W-04,49.322,5.668,9.128,35.093,7.453,113.357,1.795,7.234,19.901,4.581,3.746,0.512,1.202,3.638,2.271,17.362,2.106,4.942,12.207,4.061,22.900,6.393,10.075,8.307,5.161,2319.899,36.163,19.683,14.309,5.923,49.999,10.819,8.255,13.144,3.685,1669.036,37.709,16.581,30.557,7.372,20839.850,353.040,108.956,29.171,8.246,12886.461,195.098,35.191,39.082,8.250,3206.575,126.531,14.661,24.652,8.439,806.711,19.189,11.834,32.841,13.073,3713.813,75.509,18.005,26.353,5.946,57.464,9.380,16.518,33.804,7.492
Omar3-Sleep stage W-05,115.964,16.624,21.040,9.443,5.336,36.825,12.758,10.480,14.150,5.660,8.724,0.545,0.978,2.074,1.140,7.524,6.029,7.357,9.501,5.051,69.972,2.834,5.904,7.822,4.794,3444.031,22.679,16.134,9.437,5.244,13.232,6.061,6.394,6.836,3.977,41.070,17.538,21.610,10.555,6.696,298.017,15.949,34.601,21.232,9.283,299.097,14.076,27.804,14.318,8.279,457.092,18.218,15.818,15.592,4.006,1930.031,19.550,13.898,16.380,7.419,1410.189,49.825,18.688,15.009,8.811,15.371,12.609,24.787,9.018,7.193
Omar3-Sleep stage W-06,55.498,17.883,11.038,12.219,3.399,114.083,5.729,7.999,10.895,5.833,4.717,1.198,2.311,2.290,1.634,12.082,7.698,7.683,5.897,6.382,71.183,2.394,2.046,6.077,3.474,1115.596,33.530,7.124,13.411,7.097,26.260,7.925,4.692,9.515,3.242,8079.812,58.764,10.628,12.446,6.875,107631.837,563.163,104.750,35.148,7.083,70579.116,350.202,52.854,25.403,8.807,525.215,47.161,18.576,12.287,4.825,6482.367,17.932,19.057,19.227,11.438,6520.687,77.650,35.802,23.627,7.337,132.807,25.573,18.668,14.177,2.654
Omar3-Sleep stage W-07,8.524,10.116,8.966,9.580,3.650,63.713,4.463,2.978,11.170,5.011,4.540,0.887,0.643,2.495,1.830,19.093,6.116,2.164,5.581,4.206,45.262,2.115,1.500,11.265,6.309,1801.232,39.472,8.218,9.476,6.903,28.516,1.953,4.691,6.041,3.217,380.933,9.828,30.312,36.988,6.026,3379.929,29.978,34.262,31.130,11.931,2569.207,44.247,25.375,21.472,12.922,277.911,52.900,19.117,13.133,7.260,776.338,29.022,11.946,17.793,5.562,434.925,31.499,24.105,30.110,7.371,25.683,29.692,16.502,21.774,5.668
Omar3-Sleep stage W-08,62.598,7.021,12.516,16.475,3.763,163.225,5.959,4.651,9.463,4.420,28.778,0.598,0.743,1.411,1.796,48.308,3.028,4.255,7.953,3.427,28.917,2.760,4.284,10.784,4.941,1465.062,10.337,14.429,12.123,4.620,24.251,8.807,6.840,9.525,2.735,65.048,28.889,9.798,20.210,4.785,964.114,25.759,9.612,30.439,4.552,363.562,12.413,8.087,28.113,8.366,110.100,34.392,15.260,26.371,6.691,3832.960,14.976,11.123,24.369,9.902,341.821,10.731,11.966,18.013,10.163,74.141,14.017,15.778,25.521,7.139
Omar3-Sleep stage W-09,77.166,13.726,12.723,7.199,5.061,131.363,6.797,4.404,5.030,5.905,5.718,0.743,1.104,2.338,2.253,81.235,3.519,4.274,3.223,6.582,46.533,3.031,2.275,7.466,6.135,3093.791,48.949,36.878,18.348,4.035,38.594,11.839,12.464,12.662,3.646,72.134,51.918,34.038,30.409,9.759,627.641,57.722,40.130,29.954,12.506,197.899,12.965,13.942,15.560,14.156,1243.124,115.104,13.767,11.917,8.192,1363.128,23.571,14.067,19.134,9.048,1186.913,113.456,23.340,14.338,8.912,43.232,14.229,17.824,12.510,8.986
Omar3-Sleep stage W-10,56.328,8.443,8.320,13.015,6.369,120.233,4.719,7.709,8.162,5.038,5.547,0.554,0.703,1.134,1.170,178.269,1.940,5.275,5.462,4.244,29.156,1.996,4.468,8.401,6.649,317.738,6.198,6.102,16.655,5.579,19.854,2.910,3.645,15.339,2.852,95.792,10.836,9.923,11.742,5.299,205.353,12.059,14.224,12.448,8.064,363.502,8.346,8.443,11.610,9.831,303.126,23.867,11.472,16.387,8.965,845.737,16.490,8.482,18.885,11.498,257.104,24.326,12.675,21.891,11.059,71.339,19.273,17.547,18.144,4.753
Omar3-Sleep stage W-11,74.457,10.732,24.973,17.649,3.950,122.179,7.517,8.649,13.588,4.851,25.946,1.459,1.862,1.893,2.139,455.152,18.869,10.665,12.975,4.790,52.211,3.737,6.378,9.195,5.150,129.427,39.347,20.889,12.458,4.261,38.273,7.998,11.546,10.512,3.780,2094.718,32.557,24.307,31.130,7.195,24892.831,27.827,24.475,28.978,11.389,17649.251,75.201,24.719,40.324,7.538,659.346,63.057,52.232,26.403,12.323,1148.923,44.890,34.998,36.654,19.802,793.984,36.446,40.450,29.961,15.059,88.707,19.750,41.108,33.944,8.599
