File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar3-Sleep stage 1-27,8418.803,24.688,38.754,38.465,18.947,8417.531,13.832,24.394,29.128,18.284,8400.145,5.425,9.387,11.692,12.929,8396.174,11.580,18.948,23.169,16.023,8436.365,14.872,12.980,23.480,18.514,8614.481,60.306,57.033,67.373,39.751,8401.850,16.561,41.696,26.072,17.596,8493.489,30.805,79.056,68.956,30.002,8712.750,109.808,74.797,92.091,60.902,8650.088,82.070,68.384,107.147,58.711,8498.957,37.887,47.108,38.526,17.893,8502.758,35.471,49.640,38.415,22.876,8760.428,42.307,51.386,41.984,23.119,8425.376,25.610,60.081,48.502,22.789
Omar3-Sleep stage 1-28,8440.471,14.130,31.752,40.580,15.943,8422.750,12.513,28.083,42.069,16.894,8403.687,5.645,8.449,13.428,11.374,8425.858,9.022,18.261,23.030,16.427,8395.548,10.535,13.158,31.290,20.723,8979.967,29.186,36.366,35.592,22.093,8418.683,16.296,40.392,31.295,13.900,8635.572,26.636,64.617,64.236,25.580,8440.391,84.840,56.846,58.457,29.486,9197.621,64.618,33.237,61.436,30.343,8455.594,18.891,26.664,40.851,21.788,8602.408,27.205,29.518,47.090,27.974,8434.310,29.282,34.686,46.496,27.527,8455.081,22.686,36.267,50.477,21.635
Omar3-Sleep stage 1-29,8405.925,20.920,33.422,38.938,17.425,8421.162,11.639,25.642,35.977,21.964,8396.254,4.308,7.124,15.653,11.613,8423.830,11.471,18.652,25.288,15.447,8410.814,9.359,10.980,31.310,21.193,8339.645,28.098,37.517,42.381,24.721,8391.889,13.794,45.498,35.843,16.829,8473.023,22.880,73.235,64.114,24.678,8673.397,69.466,60.293,87.650,49.285,8769.476,44.029,44.922,55.605,39.243,8452.953,33.806,35.477,48.757,24.144,8533.572,48.519,47.305,73.654,39.526,8535.682,37.902,44.302,50.895,28.825,8385.556,22.758,44.051,47.947,22.896
Omar3-Sleep stage 1-30,8412.784,19.607,31.058,35.316,14.734,8424.180,15.755,24.683,27.093,17.152,8396.622,5.616,8.804,12.442,10.580,8379.576,10.491,15.787,20.672,15.976,8411.662,8.868,10.770,22.432,20.289,8685.459,28.242,34.399,38.339,25.476,8440.889,13.298,44.374,35.735,16.350,8611.723,52.430,72.300,73.533,34.736,9254.109,176.142,121.735,209.069,125.433,9077.584,137.578,99.112,153.738,89.821,8572.165,43.277,26.611,31.517,14.939,8646.196,22.380,30.510,35.054,22.001,8729.435,65.868,51.175,48.544,32.210,8421.637,22.548,35.204,41.271,19.596
Omar3-Sleep stage 1-31,8445.631,16.925,30.536,32.020,16.807,8448.128,17.489,24.309,30.426,19.083,8399.344,6.476,7.859,13.257,11.339,8422.012,8.662,19.548,29.745,18.316,8464.275,9.309,11.628,26.998,17.769,8367.248,18.482,38.485,36.760,22.631,8402.085,15.336,41.483,30.796,14.493,8520.190,41.633,80.143,67.529,30.112,8915.596,160.406,116.029,185.074,121.547,8849.133,142.998,94.845,141.755,89.806,8602.990,47.138,35.634,41.515,30.227,8579.668,42.005,39.807,47.356,28.913,8853.972,108.527,73.511,116.151,75.781,8440.518,21.108,36.748,41.545,19.985
Omar3-Sleep stage 1-32,8396.519,21.077,28.830,30.412,17.985,8404.907,16.694,24.621,30.584,19.190,8388.492,4.897,7.742,13.470,11.918,8432.483,11.497,19.047,21.018,15.121,8414.377,8.416,8.482,25.726,17.805,8766.103,26.593,43.223,51.646,29.003,8416.288,13.629,45.572,35.603,15.213,8389.872,23.158,66.391,47.753,21.137,9046.554,52.502,37.682,62.836,29.113,8286.450,47.942,45.911,49.985,32.221,8423.945,33.485,25.472,41.052,24.276,8433.455,36.194,32.998,40.716,24.150,8587.971,81.456,40.901,62.777,36.415,8419.177,26.617,38.731,39.064,17.349
Omar3-Sleep stage 1-33,8428.369,15.372,30.565,31.240,15.879,8408.604,13.600,23.036,23.587,17.235,8399.154,5.122,7.797,12.769,12.445,8413.819,10.479,17.172,22.551,13.660,8398.096,10.567,9.594,27.223,19.211,8529.058,18.666,34.215,35.684,18.028,8420.694,18.782,47.063,35.166,14.153,8408.924,36.393,63.527,53.421,18.190,8750.131,36.158,55.236,51.377,26.393,8381.979,23.566,38.837,41.931,20.716,8474.697,40.671,41.669,48.002,28.193,8366.964,15.452,32.841,34.008,15.531,8469.727,21.496,39.023,40.738,22.091,8426.020,15.417,38.691,41.159,19.822
Omar3-Sleep stage 1-34,8405.020,20.385,18.348,32.408,20.991,8401.599,12.729,14.467,30.154,20.049,8398.986,6.358,5.108,14.003,11.756,8410.643,12.716,9.445,22.520,14.387,8389.058,10.487,9.277,26.438,18.879,8833.931,34.482,36.649,32.495,24.586,8423.545,16.235,34.331,38.972,14.252,8415.352,33.220,45.846,53.863,24.837,8699.430,45.423,48.600,50.357,32.225,8557.753,48.318,35.552,70.519,45.075,8603.437,45.366,26.564,47.094,30.524,8550.713,26.526,20.671,34.274,23.931,8766.586,58.183,25.030,46.889,24.333,8374.541,20.815,15.626,45.476,25.414
Omar3-Sleep stage 1-35,8424.380,12.171,23.814,33.659,15.795,8413.955,11.664,19.802,27.119,18.602,8400.795,4.870,5.466,13.096,12.657,8422.872,13.699,14.569,23.612,14.936,8442.596,10.104,9.285,23.814,17.293,8465.893,59.381,43.102,49.975,34.999,8415.976,18.708,33.218,34.260,14.040,8442.455,21.117,49.425,40.590,21.481,8557.241,41.005,34.596,39.079,21.907,8555.964,36.320,31.237,45.424,24.971,8467.537,29.733,31.000,37.143,19.028,8470.626,17.658,19.211,36.275,20.294,8510.105,30.584,19.502,39.167,18.413,8431.792,18.707,26.328,45.798,18.796
Omar3-Sleep stage 1-36,8403.795,14.357,26.460,35.878,15.398,8409.548,7.344,18.040,27.342,18.188,8397.308,3.826,6.051,13.123,12.647,8415.125,12.143,15.025,25.125,13.291,8387.717,7.701,10.362,20.788,17.379,8385.011,17.707,30.757,35.741,18.794,8409.406,11.703,37.767,36.722,15.315,8427.179,19.189,39.437,45.200,17.368,8436.205,36.271,35.940,60.247,32.917,8534.328,30.586,33.588,39.908,24.840,8470.538,20.651,32.530,35.201,15.993,8461.073,16.187,30.188,37.534,21.418,8609.771,47.780,39.527,47.610,26.031,8401.672,15.327,35.051,44.842,17.772
Omar3-Sleep stage 1-37,8458.231,19.565,39.203,37.032,13.801,8440.068,12.865,21.162,31.458,17.194,8416.935,6.031,8.436,13.475,10.979,8465.320,14.834,18.863,30.704,19.221,8399.687,10.482,13.835,20.133,19.519,8558.956,32.951,45.553,51.103,31.930,8419.660,14.387,45.920,42.054,15.798,8421.924,25.401,60.080,57.135,22.568,8510.817,34.785,42.653,65.414,33.894,8441.234,14.693,34.873,34.764,21.168,8439.285,24.614,39.205,37.866,19.401,8639.549,26.638,39.317,45.595,26.166,8603.811,60.833,49.939,65.997,39.331,8435.250,19.402,40.223,39.580,21.082
Omar3-Sleep stage 1-38,8393.090,14.001,24.041,36.873,21.938,8409.713,10.995,21.949,29.060,18.200,8398.429,5.796,7.016,13.441,12.729,8427.600,11.685,18.767,27.173,22.157,8440.274,6.812,10.159,25.999,18.851,8542.209,17.830,38.890,40.901,20.955,8417.729,16.434,48.134,48.621,16.861,8663.075,28.004,69.134,62.867,22.384,8464.658,61.234,46.994,69.950,47.259,9223.197,45.726,32.941,55.310,36.701,8529.232,25.672,31.119,36.139,17.001,8658.802,17.798,31.706,36.346,18.811,8516.644,41.275,33.209,36.810,22.021,8414.331,17.977,31.160,43.117,20.281
Omar3-Sleep stage 1-39,8438.038,18.803,26.312,38.234,17.105,8429.209,14.622,24.967,33.530,15.559,8408.409,5.443,5.914,11.654,10.986,8420.997,10.079,17.469,25.105,13.403,8435.392,10.603,11.245,27.197,19.669,8420.789,30.032,40.279,60.202,35.184,8410.843,15.716,44.977,43.951,15.714,8509.658,35.907,72.382,68.252,29.282,9002.908,55.068,58.076,65.528,27.917,8636.663,64.600,42.794,57.951,36.676,8506.026,34.811,23.746,36.636,25.460,8497.566,38.938,28.627,53.125,32.185,8488.751,33.458,32.299,48.699,28.783,8474.618,20.569,30.444,48.345,23.902
Omar3-Sleep stage 1-40,8399.299,19.315,27.855,38.819,16.366,8410.668,9.988,20.173,31.254,17.571,8399.108,5.806,7.857,15.485,11.425,8399.193,9.647,16.741,23.257,16.362,8405.300,7.886,11.981,20.992,20.126,8448.820,38.039,36.959,62.482,35.213,8406.034,16.352,31.286,33.040,14.166,8644.772,36.646,70.614,50.554,18.792,8818.304,75.799,63.281,57.856,20.936,9026.411,63.689,40.407,46.470,23.743,8469.567,41.523,39.227,38.575,28.060,8540.551,45.241,35.194,49.112,32.996,8512.436,43.036,34.764,41.516,24.833,8446.230,22.498,33.952,43.258,18.509
Omar3-Sleep stage 1-41,8418.970,17.354,27.330,45.256,21.777,8438.785,13.874,16.850,30.617,20.080,8403.603,4.576,5.934,13.554,12.778,8405.354,8.218,12.918,25.096,15.978,8399.538,10.002,8.820,25.782,19.131,8756.851,21.225,37.098,36.478,22.631,8405.258,13.925,36.073,33.096,16.373,8368.222,26.050,64.059,61.883,20.612,8788.589,73.676,71.386,73.195,54.984,8369.814,56.665,45.858,72.678,38.174,8479.698,29.112,27.797,40.472,23.224,8432.171,38.056,33.161,51.532,32.219,8776.495,50.827,35.096,49.578,32.249,8377.112,21.484,33.912,48.666,21.794
Omar3-Sleep stage 1-42,8435.639,18.699,18.307,32.911,17.559,8418.124,15.649,16.262,26.603,18.232,8411.299,5.143,5.670,10.501,10.656,8404.015,10.660,12.936,21.532,13.411,8394.703,10.017,10.089,21.165,15.801,8436.395,12.102,26.158,33.807,20.631,8394.706,9.104,26.379,31.540,15.554,8356.136,17.712,44.211,40.917,17.101,8734.411,32.393,36.854,48.384,22.825,8358.307,31.135,25.480,30.297,20.061,8512.287,32.132,27.226,30.340,17.145,8568.074,19.850,27.687,27.770,21.886,8578.775,67.890,50.733,60.312,40.823,8383.073,17.700,26.763,39.691,20.140
Omar3-Sleep stage 1-43,8420.719,13.755,33.180,40.126,15.646,8446.182,13.042,21.409,31.704,14.791,8405.525,5.187,7.543,13.200,11.097,8459.191,11.999,15.678,25.041,14.548,8468.064,9.999,10.603,22.128,15.904,8563.992,19.164,22.974,32.269,22.107,8413.982,13.467,24.923,31.923,16.283,8408.763,24.681,62.143,52.809,25.475,8633.815,26.540,48.584,48.260,21.533,8345.787,21.805,31.172,38.087,25.602,8504.915,33.826,27.952,37.013,19.880,8356.464,25.996,28.155,40.249,18.190,8679.700,58.823,49.741,72.701,45.190,8456.195,24.912,33.513,47.341,20.373
Omar3-Sleep stage 1-44,8417.736,16.857,32.246,36.320,15.433,8413.674,12.120,27.204,27.766,15.732,8390.999,6.028,8.074,11.710,12.229,8398.138,10.662,17.221,25.053,14.967,8426.828,13.512,12.424,26.801,18.180,8820.205,36.822,35.585,52.677,27.369,8416.642,10.867,29.631,39.836,17.459,8457.289,28.395,64.096,64.686,19.797,8584.862,38.123,52.236,69.403,37.917,8553.824,38.407,32.414,47.419,27.136,8510.304,35.034,20.660,44.291,26.089,8550.024,34.623,34.145,44.454,22.883,8629.821,52.013,43.076,64.861,40.358,8433.576,15.768,35.122,54.191,20.285
