File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar3-Sleep stage W-20,8418.859,21.163,17.795,33.633,15.118,8418.310,13.145,14.437,25.994,16.129,8393.901,3.184,3.743,9.965,8.464,8392.444,9.962,9.777,20.559,16.178,8412.465,11.090,12.734,26.888,18.568,8689.051,27.718,29.055,45.125,26.818,8422.382,11.821,11.667,22.339,15.462,8488.312,24.580,24.495,33.845,18.799,8667.774,73.660,57.264,94.985,50.841,8700.499,58.462,30.640,57.850,42.738,8474.923,23.206,28.046,45.740,25.366,8587.298,31.443,24.578,44.868,28.537,8473.961,35.439,22.573,34.600,20.280,8437.724,23.809,18.803,36.262,18.965
Omar3-Sleep stage W-21,8419.821,19.573,17.097,26.824,18.208,8451.753,22.345,14.254,31.070,18.809,8425.857,5.574,4.169,9.539,10.318,8467.624,15.940,10.469,20.568,16.200,8453.687,16.032,12.166,23.143,20.990,8469.454,41.891,21.857,36.462,26.266,8440.100,21.416,14.124,24.876,16.006,8339.362,16.567,22.659,30.639,16.884,8896.581,13.309,18.522,37.620,24.536,8192.599,23.353,19.110,30.344,20.095,8576.976,36.080,18.823,29.341,19.306,8497.960,35.098,24.465,38.991,26.746,8460.259,37.806,26.081,35.708,25.475,8419.439,26.151,20.124,30.770,22.469
Omar3-Sleep stage W-22,8419.059,16.145,13.268,28.063,17.322,8428.853,12.195,9.628,30.780,19.668,8414.642,4.099,3.656,9.886,10.165,8501.690,12.536,7.720,21.434,15.716,8419.240,9.020,7.395,25.075,12.292,8595.185,37.524,23.358,49.762,31.737,8396.016,10.935,10.630,29.064,15.934,8500.477,22.231,27.284,43.927,22.710,8769.979,51.907,36.193,56.921,38.320,8766.047,39.227,30.061,57.353,37.162,8451.066,40.423,22.614,41.972,27.044,8620.147,27.487,18.512,42.312,29.059,8550.366,32.133,20.859,34.238,28.920,8435.940,20.278,18.962,36.558,22.808
Omar3-Sleep stage W-23,8501.055,24.229,18.583,25.554,16.934,8427.589,17.145,14.377,24.336,21.421,8401.080,6.423,5.218,10.928,9.849,8429.144,25.040,15.522,22.706,15.719,8425.390,13.937,13.281,28.470,21.284,8460.976,22.512,19.549,30.577,28.671,8473.686,13.748,14.487,22.801,16.205,8526.559,33.211,26.485,39.803,32.842,8939.861,75.803,52.278,90.048,49.265,8588.810,76.164,51.713,77.088,55.336,8793.522,70.474,25.319,40.496,27.023,8704.911,53.301,27.213,43.807,30.810,8678.895,48.247,32.968,42.510,31.583,8578.912,27.976,23.382,35.090,18.991
Omar3-Sleep stage W-24,8430.877,18.453,22.989,31.694,14.164,8449.577,17.483,17.809,35.431,18.276,8399.960,5.360,6.812,13.545,12.305,8444.477,11.460,14.203,23.422,15.183,8444.344,10.760,11.675,20.398,20.680,8541.359,22.912,13.725,34.216,17.365,8429.848,14.340,11.467,28.846,17.370,8588.312,27.698,23.149,39.537,24.602,8536.839,19.309,20.821,39.884,20.331,8948.685,33.656,22.532,41.872,27.545,8384.543,37.427,23.316,40.669,28.415,8545.546,23.811,23.297,37.345,26.265,8516.922,51.455,25.669,45.832,36.003,8418.845,30.095,29.509,40.022,28.017
Omar3-Sleep stage W-25,8422.571,16.918,13.167,27.526,17.165,8415.980,12.139,11.027,25.481,15.286,8391.467,4.315,3.845,11.616,9.426,8424.598,6.494,12.663,23.608,14.650,8405.746,5.985,7.755,20.943,15.826,8645.957,21.572,15.008,31.007,17.450,8411.252,9.414,10.031,25.364,13.110,8440.756,26.238,21.376,48.456,23.213,8824.619,67.332,49.579,78.826,47.258,8561.417,57.093,32.790,60.117,45.453,8383.615,19.428,21.004,29.776,24.412,8482.212,30.856,19.807,32.417,25.993,8571.524,29.854,20.446,33.165,20.011,8409.069,18.233,21.224,28.606,18.672
Omar3-Sleep stage W-26,8434.462,12.681,15.571,28.214,17.268,8429.671,13.065,14.669,25.767,14.932,8400.183,5.320,5.596,9.968,10.260,8443.365,17.502,10.996,22.294,15.323,8422.693,12.451,10.777,18.647,18.259,8349.244,27.250,16.498,28.013,23.270,8403.410,9.146,12.895,21.250,14.851,8457.692,26.488,26.731,39.721,22.020,8557.338,63.281,48.990,87.282,56.101,8627.793,59.531,40.174,63.797,42.012,8496.338,24.650,21.527,34.356,22.215,8551.497,34.023,20.780,38.956,25.345,8550.362,38.432,17.943,33.850,21.319,8448.475,21.579,19.660,34.937,17.772
Omar3-Sleep stage W-27,8438.332,13.185,13.530,34.312,16.368,8422.852,10.954,9.590,27.439,17.515,8407.770,3.727,3.574,11.392,11.505,8397.448,6.862,7.896,22.882,17.728,8411.174,9.516,12.632,27.747,19.360,8700.125,24.284,14.711,36.458,22.399,8405.979,9.573,13.441,26.221,14.697,8688.374,46.218,50.546,68.594,42.701,8882.821,184.156,120.947,201.355,126.633,9297.317,146.078,110.366,177.673,111.133,8696.449,40.491,29.777,35.930,20.258,8629.879,17.178,13.620,39.476,25.776,8515.864,42.169,33.615,52.935,34.394,8436.878,15.200,18.449,41.588,20.702
Omar3-Sleep stage W-28,8416.546,14.278,16.925,32.223,16.476,8458.025,12.588,13.411,25.989,17.231,8414.750,3.606,4.036,10.365,10.565,8396.909,7.878,9.582,21.199,13.906,8447.600,8.663,9.729,19.960,15.639,8279.537,21.557,18.946,32.093,21.425,8406.179,10.735,9.305,22.295,16.597,8620.512,66.309,48.324,81.961,55.453,9300.264,265.650,182.527,291.404,179.810,9092.630,208.315,143.995,229.173,149.601,8376.679,22.512,19.062,28.299,21.637,8343.550,29.142,23.184,49.065,31.968,8521.773,18.530,16.146,33.794,23.540,8441.212,17.155,16.129,39.552,23.424
Omar3-Sleep stage W-29,8409.198,20.428,23.064,33.568,21.073,8443.117,13.709,16.391,28.699,19.405,8405.828,6.468,4.889,12.694,9.843,8467.574,17.896,12.206,24.606,15.165,8397.143,11.265,9.709,21.064,18.695,8652.404,21.326,19.015,37.460,23.077,8410.329,11.900,11.356,19.848,17.543,8419.573,43.996,34.521,45.306,26.183,9157.395,100.280,70.843,122.410,76.149,8451.637,91.711,62.003,89.180,56.575,8435.118,22.944,25.170,41.965,24.017,8486.104,44.898,32.189,49.288,32.332,8459.912,23.415,24.449,41.736,20.310,8401.718,15.668,21.414,42.456,19.614
