File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar3-Sleep stage 1-12,35215632.256,21.332,19.593,21.914,7.256,35219871.285,5.400,8.949,11.781,7.982,35198220.125,1.404,1.106,2.774,2.156,35177266.778,4.524,6.546,9.485,4.657,35207686.599,3.649,2.182,14.337,9.722,36459614.922,75.594,42.764,22.482,14.049,35416558.996,12.567,31.251,14.394,4.931,35433637.961,206.097,90.796,89.278,18.737,35253375.932,3775.913,773.063,605.697,208.922,35556715.698,2250.236,411.373,438.740,147.524,35408864.139,112.353,46.639,20.448,7.549,36310371.044,85.458,18.441,17.711,5.997,35257684.008,656.387,142.695,142.280,35.966,35301517.023,26.518,24.243,25.479,6.844
Omar3-Sleep stage 1-13,35137468.085,19.143,17.312,23.705,5.384,35168336.975,14.559,8.778,14.607,7.615,35188156.955,1.853,0.848,2.433,1.896,35263720.076,9.936,5.620,10.610,4.168,34999082.325,7.232,5.006,10.476,9.310,35956461.371,20.480,43.718,30.027,8.757,34989771.828,9.042,15.316,22.418,3.147,35790550.971,245.520,116.471,85.818,27.680,31500219.134,2031.766,727.953,622.209,178.666,37810698.846,1691.978,618.630,530.060,166.119,35243107.445,49.094,44.808,31.006,10.288,34635093.684,84.709,79.960,44.364,14.365,35678365.975,295.283,132.121,104.990,30.606,35180779.457,24.757,43.724,29.687,9.161
Omar3-Sleep stage 1-14,35076242.373,18.945,40.482,17.276,7.279,35107851.251,16.871,32.015,15.417,9.807,35096057.957,1.845,3.404,2.580,3.053,35004955.253,6.629,17.526,6.199,4.283,35088654.510,14.038,17.438,10.675,12.585,36065781.141,157.780,107.409,26.258,12.081,35187724.794,8.674,135.925,29.959,4.723,34730329.620,24.646,182.260,49.953,11.533,36712677.130,338.304,146.193,137.860,36.973,33960994.878,122.225,42.299,32.317,20.855,35180019.321,72.972,61.310,18.481,10.723,35323103.657,53.294,56.301,35.416,13.880,34940459.543,103.325,101.402,32.693,13.482,35109747.643,16.531,60.080,20.554,13.037
Omar3-Sleep stage 1-15,35119848.375,30.779,84.553,29.161,5.335,35176199.269,13.078,44.427,19.227,4.231,35155863.151,2.584,5.482,2.729,2.097,35089314.486,5.220,24.412,11.013,3.975,35198725.613,8.553,5.650,10.486,8.000,35889073.215,44.093,69.749,22.889,12.414,35165745.101,10.991,90.124,20.136,6.421,35972622.829,122.361,139.238,73.403,10.499,33148850.961,2082.986,650.390,525.290,127.375,37196379.148,1179.141,302.956,216.951,63.090,34853089.716,59.010,37.704,26.817,7.590,34489309.954,129.552,94.422,71.967,14.508,35589830.710,38.505,52.003,25.145,7.746,35075924.188,29.884,114.091,41.655,7.888
Omar3-Sleep stage 1-16,35271682.266,26.653,19.749,18.734,5.980,35261999.778,15.186,13.394,15.072,4.983,35146121.931,2.702,1.677,3.247,2.021,35262750.131,7.336,8.392,8.987,4.845,35226652.872,8.574,6.875,11.102,7.551,34310863.691,185.975,109.749,98.074,36.687,35165577.493,11.964,19.326,12.260,4.327,34868058.865,55.146,107.690,36.335,8.770,36026638.831,206.468,126.696,134.123,44.050,34612364.995,194.789,207.392,93.044,30.406,35606384.920,125.663,35.518,24.432,7.197,35410892.711,45.024,60.618,30.348,11.730,35496044.229,106.275,88.709,48.220,11.017,35176683.261,21.692,29.814,26.352,8.995
Omar3-Sleep stage 1-17,35390939.020,49.505,55.972,32.904,6.766,35319094.034,25.493,42.499,26.894,6.970,35222551.362,1.988,4.137,2.960,2.788,35226602.489,11.509,22.688,14.098,7.676,35282221.550,11.165,5.966,9.851,9.577,34033610.974,266.174,154.177,125.876,27.977,35282865.826,14.444,175.560,107.719,7.062,34478923.779,60.778,282.950,176.076,9.759,38252445.373,167.304,208.835,115.333,20.091,33032108.851,50.878,58.100,49.421,14.620,35488048.725,180.793,50.774,34.400,14.067,36086168.287,43.886,45.712,26.474,5.775,34263164.162,118.651,58.979,28.766,12.905,35428380.618,54.370,72.311,37.266,5.970
Omar3-Sleep stage 1-18,35021584.584,24.505,105.477,20.612,7.045,35175517.893,10.177,51.892,12.398,8.549,35252384.542,3.183,3.766,2.836,2.621,35289942.284,9.812,22.049,8.370,7.977,35236691.627,6.101,12.988,10.079,9.158,35995397.116,82.464,100.487,32.012,12.772,35153988.647,22.514,106.433,23.861,9.140,34759571.371,15.384,258.055,49.327,15.235,37063309.584,78.870,57.639,45.551,15.318,33730490.423,30.455,60.510,22.972,12.370,34929819.142,31.513,101.386,28.723,15.630,33714132.106,24.262,104.074,19.952,12.496,35277513.738,134.178,122.142,29.334,12.609,35090280.336,22.682,186.268,35.605,13.109
Omar3-Sleep stage 1-19,35119924.543,35.508,64.768,35.576,7.457,35132304.228,18.845,30.930,17.352,5.307,35213350.771,3.308,2.210,3.750,2.501,35130203.692,11.656,16.480,15.499,8.785,34971478.847,10.257,4.594,13.032,14.990,34093539.416,55.141,92.108,32.833,21.520,35034888.502,20.068,156.721,22.536,7.205,35050424.170,29.427,222.660,43.392,14.813,35391309.967,293.450,109.581,48.332,19.261,35089932.936,196.323,117.270,51.571,25.804,35137291.390,184.974,103.531,28.375,23.319,34997280.875,39.103,85.777,29.821,11.452,36421510.715,118.275,118.343,40.377,27.753,34896016.690,34.302,166.879,47.310,15.881
Omar3-Sleep stage 1-20,35246159.030,14.500,64.212,15.186,5.225,35102554.181,8.900,40.088,12.964,5.603,35140288.507,1.004,5.178,3.660,3.374,35065592.546,5.998,19.622,13.474,11.942,35070182.727,3.875,9.498,14.037,11.204,35614069.690,34.431,93.709,25.730,13.369,35228304.761,21.443,123.724,33.897,6.792,35651782.851,71.863,144.267,53.472,15.315,33498415.157,466.381,147.951,75.738,22.539,36506737.366,342.723,113.907,38.614,14.401,34676196.704,119.282,35.799,31.387,15.436,35647803.405,86.091,104.409,33.631,12.454,34278177.854,26.881,40.803,40.271,25.341,35303456.908,26.582,67.542,26.082,14.885
Omar3-Sleep stage 1-21,35003621.332,29.495,51.548,16.703,5.325,35170992.917,14.378,35.981,14.141,6.371,35175917.325,2.162,2.778,2.126,2.648,35215261.949,12.183,20.008,8.971,3.543,35336672.121,11.600,10.257,15.716,10.434,36851212.723,38.222,80.032,33.127,10.562,35439386.697,15.163,90.843,28.322,5.580,36216889.474,103.893,211.821,77.455,8.264,31297959.328,1037.716,204.760,122.891,20.121,38629721.984,730.230,135.927,67.458,20.867,35094869.226,44.097,29.041,25.946,10.479,35718211.984,92.448,65.460,43.208,17.314,34298722.245,38.213,43.991,22.815,9.880,35263964.770,24.007,75.390,24.353,8.433
