File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage W-24,35055761.579,12.994,11.395,11.824,5.352,35284907.601,9.197,10.811,13.277,7.188,35368415.812,3.412,1.433,2.959,2.377,35654112.728,17.674,7.065,9.058,6.677,35290316.350,9.362,4.859,8.422,6.397,34975658.935,52.396,22.979,32.537,14.885,35046429.458,10.118,6.656,12.185,6.349,35416778.782,252.017,102.799,109.885,37.782,33383645.312,2317.298,746.125,634.365,237.437,36169679.741,1674.593,556.210,537.716,182.279,34905571.652,175.838,72.549,25.111,9.903,35625161.246,47.772,14.029,21.583,10.247,34772857.132,67.021,18.789,17.541,10.573,31348873.331,31750.934,9165.982,14411.023,4517.922
Omar2-Sleep stage W-25,35219841.622,8.155,17.073,19.536,3.640,35101934.414,7.867,12.452,17.298,5.176,35221244.855,3.818,3.515,4.843,3.088,35128390.758,10.176,10.443,11.433,4.543,35047590.142,7.087,5.197,8.019,4.071,35686507.035,104.863,25.855,28.536,12.430,35374878.866,5.099,11.413,14.004,6.467,36204660.716,270.502,157.411,114.169,32.506,32331977.464,2706.630,1054.666,837.082,277.946,38296666.258,1907.450,783.337,626.461,198.348,36103439.064,240.850,92.885,49.763,15.827,36178729.671,64.738,29.677,27.587,10.375,35653234.360,37.250,26.769,23.346,9.285,33824269.220,12908.184,11191.409,9427.444,2081.386
Omar2-Sleep stage W-26,35277854.210,10.256,12.692,13.958,5.008,35188103.166,3.973,9.766,13.240,5.712,35193363.434,2.204,2.252,5.717,3.372,35239206.625,11.543,5.356,7.226,5.355,35328034.611,2.601,5.682,7.339,4.053,35092988.036,79.666,13.230,17.661,10.580,35193817.668,8.335,8.012,9.217,5.429,34289626.052,18.214,20.056,19.703,8.902,38433942.090,115.951,73.212,34.103,24.534,32372852.370,54.818,32.157,24.307,10.702,34084113.576,92.448,22.589,18.547,8.449,33794753.682,39.017,20.367,34.061,10.873,34431000.920,45.139,22.060,28.412,10.301,35189754.683,15896.378,5284.506,7891.207,1898.110
Omar2-Sleep stage W-27,35133894.599,23.829,27.316,17.783,3.626,35173024.782,14.994,16.797,11.662,6.719,35144004.185,4.663,4.246,2.770,2.235,35061957.061,10.884,16.075,9.181,4.704,35217820.924,7.638,5.535,7.069,4.297,35096708.782,26.400,22.517,19.428,10.549,35212710.861,11.979,5.523,10.815,4.842,35313836.069,28.114,29.491,25.302,6.582,35993192.885,109.653,40.751,30.878,11.900,34968992.707,60.048,30.120,23.535,7.345,35153189.818,214.463,68.611,57.496,21.921,35713730.997,50.691,30.951,31.413,10.508,36578827.060,210.454,61.533,61.516,21.215,54525307.665,50676.144,39841.016,31145.412,13166.394
Omar2-Sleep stage W-28,35419241.860,18.071,9.203,19.323,5.384,35290069.417,17.463,12.262,15.341,8.489,35239457.876,3.379,2.185,3.631,2.129,35165104.959,13.625,9.566,15.696,7.653,35261382.110,4.181,9.951,10.445,3.905,35903648.061,182.786,20.094,19.054,8.171,35222421.689,13.753,7.663,8.111,5.165,35617401.510,119.885,70.749,53.133,14.007,33916466.420,609.924,187.175,105.096,42.270,36248552.413,484.450,168.166,94.733,27.407,36291840.507,175.837,29.614,48.102,14.134,35374551.134,85.700,27.684,33.871,12.652,35435474.590,184.170,52.323,101.661,28.010,21460345.529,69637.769,14925.894,17526.438,4597.506
Omar2-Sleep stage W-29,35122054.439,19.830,16.368,16.083,5.050,35069642.007,11.433,7.988,18.133,7.886,35097970.228,2.280,1.107,3.060,1.929,34983054.543,13.598,5.438,11.501,6.089,35015360.069,4.153,3.813,9.126,4.888,34523885.547,63.710,37.950,57.069,18.615,35194309.857,6.440,18.250,14.596,4.924,35657602.524,57.770,89.015,45.848,15.293,33035029.052,421.929,166.090,87.134,23.988,36962696.863,295.350,90.536,68.249,19.501,35140633.910,85.019,42.801,27.701,7.781,35477293.842,55.466,28.034,31.684,9.571,35339802.830,324.018,137.246,102.403,34.384,38526478.070,71581.205,46314.111,52316.151,11003.126
Omar2-Sleep stage W-30,35208784.484,23.414,13.372,8.280,4.835,35269688.913,17.566,8.537,6.868,5.732,35193618.872,4.903,3.218,3.248,3.533,35179217.884,10.187,5.199,8.716,4.540,35179009.008,7.557,4.703,5.823,3.938,35529535.187,44.949,20.834,18.282,12.463,35269627.919,6.385,8.500,7.793,6.675,35641138.912,25.117,32.596,23.915,11.032,33944277.651,332.743,121.208,39.964,21.575,36259765.787,205.477,61.253,38.982,12.684,34930390.228,72.630,23.248,29.063,15.615,34703239.732,32.767,20.514,22.753,13.177,33765429.903,446.001,137.139,134.242,52.327,31275383.764,17751.819,6657.373,8883.907,3145.678
Omar2-Sleep stage W-31,35187417.209,18.818,12.306,13.947,4.772,35373569.014,7.841,9.520,13.522,3.125,35284354.312,3.157,3.041,4.036,2.712,35372137.278,14.897,6.944,13.619,5.586,35148644.686,4.296,6.858,8.662,3.115,35816152.780,89.179,25.721,22.783,11.491,35112759.564,9.983,10.320,11.176,5.414,34828513.696,78.500,29.622,24.713,10.819,35247834.308,542.239,112.657,110.036,41.714,34702699.880,366.339,113.055,56.963,26.817,34663335.815,444.159,163.582,107.678,36.108,35519879.226,32.282,28.124,27.854,12.144,34867332.489,115.012,52.798,59.978,14.550,39757363.741,29826.471,20223.132,18849.505,4120.010
Omar2-Sleep stage W-32,35108831.919,20.229,15.144,15.124,4.556,35323644.926,9.041,10.427,14.207,5.723,35217183.337,2.195,2.669,3.128,2.196,35153280.296,6.380,8.414,9.350,3.399,35374813.899,10.855,3.445,9.672,5.174,35516167.812,67.946,16.131,20.962,11.622,35337143.358,7.722,9.903,13.025,4.950,34743802.802,55.738,32.030,16.776,7.213,37512856.616,249.240,31.670,36.491,14.052,33817653.778,229.042,49.406,21.078,10.244,36852644.274,310.367,100.174,59.010,15.759,35908252.738,87.688,44.812,19.034,16.632,36808811.668,126.281,78.806,33.349,15.764,35004438.863,25142.472,11688.232,22788.800,3291.817
Omar2-Sleep stage W-33,35196631.250,12.957,6.449,8.281,3.721,35093557.327,10.092,8.426,6.859,4.154,35278426.426,1.038,1.495,2.136,1.447,35456868.532,6.222,5.725,6.552,3.439,35326146.960,7.130,3.955,10.652,3.363,33787254.543,101.365,12.105,17.072,9.871,35173306.034,8.127,4.019,7.652,4.481,34543023.845,71.814,21.407,27.954,8.750,37548249.988,191.185,28.746,30.450,14.243,33285232.448,217.153,26.065,36.559,18.067,35216608.466,204.427,48.952,16.648,7.771,35049462.536,31.240,17.199,18.106,7.376,34679014.811,50.245,9.713,17.409,8.755,38996196.565,44199.150,20264.967,19045.069,2106.842
