File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage 1-35,60.719,7.689,59.491,12.968,4.765,86.392,8.585,41.340,10.137,6.575,130.946,3.533,7.551,2.899,2.101,96.994,8.033,25.533,8.603,5.531,32.313,5.602,9.333,8.168,4.845,1125.649,103.887,97.947,21.433,9.403,27.805,4.157,124.538,31.606,7.039,76.925,27.916,392.194,55.942,12.201,2138.139,39.296,195.977,46.885,10.624,894.663,13.372,64.756,21.085,11.720,2170.597,67.305,78.728,12.675,9.385,1622.281,3.212,35.140,15.110,8.479,242.543,10.025,38.613,10.835,10.068,5744.288,886.667,785.055,950.964,263.057
Omar2-Sleep stage 1-36,18.321,9.889,23.369,18.009,3.413,15.447,6.832,13.159,14.420,5.801,1.919,2.003,1.728,2.403,1.143,82.533,7.513,7.262,8.398,3.752,32.042,4.493,5.389,13.147,3.912,1171.801,32.505,23.376,14.926,5.474,14.492,4.533,35.715,16.053,1.894,100.080,20.670,136.256,28.575,4.826,490.556,33.385,82.781,13.613,6.448,256.570,16.848,30.320,23.489,4.469,8443.904,325.893,45.465,28.138,4.334,479.887,16.659,27.785,17.163,6.406,671.462,24.353,35.652,14.930,6.841,9252.179,761.343,398.917,416.621,145.735
Omar2-Sleep stage 1-37,28.373,12.981,22.026,17.563,5.737,36.093,6.104,18.836,11.052,8.494,14.997,4.016,5.772,5.835,2.278,97.296,7.247,8.651,9.412,5.558,66.980,4.584,7.026,10.713,6.050,320.966,16.919,16.219,18.963,8.948,11.657,15.141,19.869,15.959,7.323,998.356,46.168,140.142,32.028,5.539,9928.355,125.643,61.270,21.519,6.536,7407.860,124.291,56.620,22.902,12.011,4614.111,45.418,27.133,15.504,8.807,1478.728,24.356,20.223,20.203,8.478,363.767,20.722,31.817,16.069,8.320,7889.339,621.761,306.994,498.422,88.426
Omar2-Sleep stage 1-38,50.436,5.094,16.169,13.171,3.236,15.858,4.111,7.817,9.024,4.250,10.297,2.085,3.400,2.300,2.403,40.104,5.110,7.958,6.106,4.228,81.283,3.888,5.880,8.618,5.704,1353.911,13.374,14.382,9.817,5.562,13.992,4.870,8.953,11.626,3.443,100.375,10.696,87.572,29.031,7.406,2109.084,25.982,56.578,22.736,7.724,1074.828,11.738,30.242,22.610,8.528,625.724,53.568,11.770,14.423,6.003,1035.888,4.295,16.971,15.587,8.571,140.967,6.569,13.953,20.945,8.168,1890.889,1218.755,237.148,817.029,112.590
Omar2-Sleep stage 1-39,191.224,8.994,25.184,17.506,2.962,132.026,8.927,14.209,14.040,4.870,9.111,5.211,3.338,5.449,3.418,171.054,5.791,8.176,7.035,3.039,358.733,5.472,7.490,8.759,4.169,771.985,29.385,28.647,21.625,7.248,57.645,5.529,41.948,36.424,3.018,166.595,24.442,83.733,78.322,5.885,1478.968,70.244,51.582,49.409,4.924,81.107,11.315,23.259,29.216,4.341,7339.397,111.181,30.470,13.892,7.201,1727.996,36.338,22.250,17.309,7.839,595.338,16.888,26.997,21.312,5.472,16326.509,4297.255,1082.448,1155.617,230.848
Omar2-Sleep stage 1-40,97.876,6.399,20.456,17.499,7.082,54.051,9.901,11.592,11.352,9.770,8.462,2.904,2.559,4.451,3.089,22.917,9.051,2.681,7.054,5.335,249.010,9.258,4.617,8.544,4.395,909.975,137.370,24.403,16.490,7.608,72.053,10.234,18.356,12.794,4.256,493.725,16.845,83.374,27.611,4.740,757.913,56.804,54.274,37.945,11.580,1315.812,43.476,22.803,18.949,9.033,4700.928,188.706,28.353,25.568,13.072,353.293,12.562,10.066,26.219,11.981,216.288,16.414,4.941,22.432,6.149,12973.997,1370.358,1772.109,1773.086,734.297
Omar2-Sleep stage 1-41,32.863,6.082,49.233,18.126,3.349,56.411,4.736,32.108,13.694,3.196,19.169,2.150,4.819,4.042,2.806,106.321,3.396,14.872,7.109,3.396,40.333,5.017,7.682,4.806,3.957,4521.427,18.734,52.938,17.545,9.185,26.985,12.906,92.207,18.655,4.157,200.209,24.610,352.205,35.969,5.781,541.777,51.954,153.886,33.776,6.832,477.331,20.441,55.663,11.894,9.807,4080.375,301.822,34.539,13.917,5.317,382.673,36.035,38.253,12.006,4.295,613.259,24.144,25.919,15.587,4.058,21683.282,966.636,393.927,1141.764,201.560
Omar2-Sleep stage 1-42,28.982,10.035,49.994,20.872,4.915,6.577,15.064,23.762,11.660,3.756,7.005,4.816,4.137,3.936,2.049,100.514,7.499,21.515,9.232,3.101,66.179,6.739,6.139,8.874,3.928,3065.914,41.903,140.336,16.345,4.531,21.104,11.405,137.426,27.687,4.126,172.238,17.010,98.704,46.075,6.647,2533.878,48.935,43.263,37.749,10.081,1364.881,62.017,23.512,21.798,8.250,3871.180,76.578,82.847,17.781,7.277,654.580,20.437,63.265,15.508,7.395,355.114,29.538,43.266,18.434,6.093,37724.271,751.955,958.201,679.449,307.815
Omar2-Sleep stage 1-43,68.637,4.359,10.589,11.931,4.758,77.369,4.363,7.600,8.350,5.028,11.756,1.616,1.191,3.792,2.703,19.094,2.595,4.517,5.807,3.766,42.566,5.161,3.460,6.781,3.506,1111.356,13.839,9.411,19.506,8.841,13.055,3.280,8.876,19.345,5.117,50.042,2.455,53.800,29.124,11.849,305.159,17.626,68.407,30.382,8.962,187.416,8.697,15.835,20.642,8.783,1302.324,59.815,15.196,15.165,7.977,1672.385,12.577,12.307,11.804,7.656,332.361,6.658,10.395,16.660,5.606,6852.329,1239.165,264.455,354.556,91.167
Omar2-Sleep stage 1-44,65.727,6.895,48.044,16.045,4.754,269.532,5.166,41.924,16.078,2.377,7.194,2.218,8.723,4.032,2.652,99.904,5.070,28.634,7.972,3.974,185.862,8.302,12.139,13.851,2.846,5357.990,74.136,124.477,36.587,8.271,40.559,31.927,145.727,41.868,4.620,231.142,58.921,473.310,90.551,6.844,776.792,35.076,127.764,70.864,6.971,699.735,24.207,60.602,39.821,7.379,3636.169,22.498,78.097,32.675,11.477,1908.722,14.816,71.404,23.399,6.978,758.094,16.171,72.780,27.523,8.744,3437.776,831.824,485.176,754.338,104.837
